text,sentiment
"Government bond yields have gradually increased, while overall funding costs remain conducive for business financing.",1
"The Thai economic recovery has continued to gain traction, driven mainly by tourism and private consumption.",1
Commercial banks have high levels of capital and loan loss provision.,1
Headline inflation is expected to be at 6.3 percent in 2022 before declining to 2.6 percent in 2023 due to falling global oil prices and gradual easing of supply chain bottlenecks.,1
"Moreover, the economic recovery has become more broad-based, both in terms of business sectors, especially services, and in terms of income distribution.",1
"Core inflation is projected to be at 2.6 percent in 2022 and 2.4 percent in 2023, rising more than previously assessed mainly on the back of higher cost pass-through.",0
The tourism sector recovers faster than expected as the number of foreign tourists continues to rise.,1
The depreciation of the baht against the US dollar has been rapid and continuous due to the strengthening of the US dollar but is still in line with regional currencies.,0
"Meanwhile, the slower-thanexpected global economy has an impact on Thai exports but would not derail the overall economic recovery.",0
The Committee is ready to adjust the size and timing of policy normalization should the growth and inflation outlook shift from the current assessment.,0
The Committee views that financial institutions should continue to press ahead with debt restructuring and deems it important to have targeted measures and sustainable solutions in place for vulnerable groups.,1
"The Committee will continue to closely monitor developments in the financial and exchange rate markets, especially in the period of heightened volatilities.",0
"Furthermore, demand-side inflationary pressures are limited as the Thai economy is still in a recovery stage.",1
"The Committee deems that a gradual policy normalization remains an appropriate course for monetary policy, and thus votes to raise the policy rate by 0.25 percentage point at this meeting.",0
Headline inflation remains at a high level as cost pass-through has increased in the recent period despite declining commodity prices.,-1
"The Thai economy is projected to continue growing at 3.3 percent in 2022 and 3.8 percent in 2023, driven mainly by tourism and private consumption.",1
"Disyatat, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 28 September 2022 as follows.",0
"Meanwhile, medium-term inflation expectations remain anchored within the target range.",1
"The Committee votes unanimously to raise the policy rate by 0.25 percentage point from 0.75 to 1.00 percent, effective immediately.",0
Overall financial conditions remain accommodative.,1
The policy rate should be normalized in a gradual and measured manner to the level that is consistent with sustainable growth in the long term.,0
The overall growth and inflation outlook is consistent with the previous assessment.,0
Overall financial system remains resilient.,1
Debt serviceability of households and businesses has improved in line with the economic recovery.,1
"Wages have increased in some sectors and areas with labor shortages, but there have not been signs of a broad-based wage increase.",0
"The Committee will continue to closely monitor risks to inflation, especially a potential increase in cost pass-through, should businesses face rising cost pressures from multiple sources simultaneously.",0
"Under the monetary policy framework with objectives of maintaining price stability, supporting sustainable and full-potential economic growth, and preserving financial stability, the Committee judges that the Thai economy will continue to recover but with increased inflation risks.",0
"The Thai economy continues to expand, driven mainly by domestic demand and tourism.",1
"Overall loans outstanding of businesses expanded, while those of households expanded at a slower pace driven by hire purchase and credit card loans as credit quality deteriorated.",-1
Export growth remains subdued as some merchandises are facing additional pressures from higher competition.,-1
Private sector funding costs via commercial banks remained largely unchanged.,0
"The majority of the Committee deems that the current policy interest rate is consistent with the economy converging to its potential, as well as conducive to safeguarding macro-financial stability.",1
"One member voted to cut the policy rate by 0.25 percentage point to reflect Thailand’s lower potential growth as a result of structural challenges, and to partly alleviate debt-servicing burden for borrowers.",0
"Going forward, uncertainties surrounding exports and manufacturing recovery as well as the impact from government stimulus measures should be monitored in the second half of the year.",0
"Meanwhile, Thai government bond yields increased somewhat following adjustments in market’s expectations on Thailand’s monetary policy.",0
"Meanwhile, exports will continue to grow at a subdued level, reflecting structural headwinds particularly deteriorating competitiveness.",-1
"Moreover, the Committee recognizes the importance of addressing credit access issues, particularly for SMEs, and therefore supports targeted measures such as credit guarantee schemes.",1
Most members thus voted to maintain the policy rate at this meeting.,0
"Meanwhile, core inflation is forecasted at 0.5 and 0.9 percent for 2024 and 2025, respectively.",0
"Thus, the Committee supports the Bank of Thailand’s policy of implementing measures through financial institutions to align lending with borrowers’ debt repayment capacity, coupled with debt restructuring to assist debtors with repayment difficulties.",1
Overall financial conditions remain stable.,1
"Headline inflation is projected at 0.6 and 1.3 percent for 2024 and 2025, respectively.",0
"Overall, headline inflation is anticipated to gradually return to target range by the fourth quarter of 2024 onwards, with medium-term inflation expectations remaining consistent with the target.",1
"The Thai economy is projected to expand by 2.6 and 3.0 percent in 2024 and 2025, respectively.",1
These measures will help increase credit access for SMEs which is necessary for economic growth.,1
The Committee will take into account growth and inflation outlook in deliberating monetary policy going forward.,0
The Committee voted 6 to 1 to maintain the policy rate at 2.50 percent.,0
"This year’s economic growth is driven by (1) stronger-than-expected domestic demand in the first quarter, (2) continued recovery in tourism, and (3) acceleration in government disbursement during the second quarter.",1
"Disyatat, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 12 June 2024 as follows.",0
"Inflation has turned positive and is expected to increase, as the effects from domestic diesel price subsidy and excess supply of certain raw food items are gradually phased out.",-1
"Most Committee members deem that the policy rate remains consistent with improving growth and inflation outlook, while fostering macro-financial stability in the longer term.",1
"The baht depreciated against the US dollar, primarily influenced by the Federal Reserve’s monetary policy outlook and domestic developments.",0
"The Committee expresses concerns over the high level of household debt, and views that credit growth should be consistent with the on-going debt deleveraging to foster long-term financial stability.",-1
"The prevailing monetary policy framework seeks to maintain price stability, support sustainable growth, and preserve financial stability.",1
"However, it remains essential to monitor economic developments, especially the recovery of exports and government measures.",0
Inflation is projected to gradually increase towards the target range since the fourth quarter of 2024.,0
"Additionally, certain merchandises, especially in the automotive sector, face increasing pressures from the slowdown in foreign demand.",-1
One MPC member voted to cut the policy rate by 0.25 percentage point.,0
"Bond markets function normally, despite a few lowrated corporate bond issuers having difficulties rolling over debt.",0
"Overall, businesses are able to service debts normally despite gradual income recovery and high production costs.",1
"The baht weakened against the US dollar since the beginning of 2024 in line with regional currencies, primarily influenced by the Federal Reserve’s monetary policy outlook.",-1
"Two members voted to cut the policy rate by 0.25 percentage point, to reflect a lower potential growth as a result of structural challenges.",-1
The overall financial system remains resilient.,1
"Private sector funding costs, both via commercial banks and bond markets, stay broadly unchanged.",0
"Meanwhile, domestic demand continues to expand and remains a key driver of the economy.",1
"Disyatat, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 7 February 2024 as follows.",0
Most members thus voted to maintain the policy rate at this meeting.,0
The Committee judges key factors hindering growth outlook to be external and structural.,-1
"Meanwhile, domestic demand momentum remains in place and inflation should gradually increase towards the target range.",1
The Thai economy is projected to slow in 2024 from exports and manufacturing activity amid softening global demand and moderating growth in China.,-1
Two MPC members voted to cut the policy rate by 0.25 percentage point.,0
"Key risks to monitor include the Middle East situation which could affect energy prices, impacts of climate change on agricultural prices, and government subsidies.",-1
"Businesses and households continue to access new fundings at the usual pace, with a slight decline in total loan outstanding largely owing to debt repayments.",0
Core inflation should remain flat as in previous assessment.,0
"At the same time, private consumption growth remains robust.",1
"The Committee nonetheless notes heightened uncertainties associated with cyclical and structural factors, and will take into account growth and inflation outlook in deliberating monetary policy looking ahead.",0
The current level of policy interest rate remains consistent with sustaining growth while fostering macro-financial stability in the longer term.,1
Small businesses in certain industries may face tighter credit conditions and more stringent credit standards.,-1
"This slower initial momentum points to a softer outlook for 2024 growth, projected to be 2.5-3 percent.",-1
The Committee recognizes the importance of managing credit quality of SMEs and households grappling with slow income recovery.,0
Headline inflation should stabilize at levels close to 1 percent in 2024 before gradually picking up next year.,1
"In the Committee’s assessment, recent growth slowdown owes primarily to moderating momentum in the external sector, which partly has structural causes.",0
"The current policy interest rate is consistent with preserving macro-financial stability, a key foundation for sustainable growth in the longer term.",1
Inflation stays at a low level and should gradually pick up towards the target range albeit at a slower-thanexpected pace.,0
"Under the prevailing monetary policy framework, the Committee seeks to maintain price stability, support sustainable growth, and preserve financial stability.",1
The Committee voted 5 to 2 to maintain the policy rate at 2.50 percent.,0
"Headline inflation is projected to be lower than previously assessed due to supply factors, particularly lower-than-expected raw food and energy prices as well as an extension of government subsidies.",1
"Recent low inflation readings do not reflect demand deficiency, as price declines are concentrated in relatively few product categories and not broad-based, while headline inflation excluding subsidies remains positive.",0
Overall financial conditions are stable relative to the previous meeting.,0
"Exports and manufacturing activity should expand at a moderate pace, constrained by global demand and a delayed upturn in the Thai electronic cycle.",0
"The Thai economy slowed more than expected in late 2023, owing to (1) tepid merchandise exports and manufacturing activity given unfavorable global trade conditions and high inventory levels, (2) lower tourism spending per head, a break from historical patterns, and (3) an unusually large fall in public investment due to the delayed government budget.",-1
"Looking ahead, structural impediments, particularly deteriorating competitiveness, would increasingly hamper growth in the absence of structural reforms.",-1
Private consumption and tourism should remain the key growth engines.,1
Structural headwinds are restraining merchandise exports and tourism more than expected.,-1
It welcomes the Bank of Thailand’s initiatives to accerelate debt restructuring as well as targeted measures and sustainable debt resolutions for vulnerable groups particularly Responsible Lending measures.,1
Financial institutions maintain high levels of capital and loan loss provision.,1
Commercial banks maintain high levels of capital and loan loss provision.,1
"However, it is still expected to decline and return to the target range within 2023.",0
Debt serviceability of households and businesses has improved in line with the economic recovery.,1
"Disyatat, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 30 November 2022 as follows.",0
"Headline inflation is expected to be at 6.3 percent in 2022, peaking in the third quarter, before declining to 3.0 percent in 2023 and 2.1 percent in 2024.",0
The tourism sector continues to strengthen as the number of foreign tourists continues to rise.,1
"Under the monetary policy framework with objectives of maintaining price stability, supporting sustainable and full-potential economic growth, and preserving financial stability, the Committee judges that the Thai economic recovery will be on track, albeit with risks to inflation.",1
"Core inflation projection is close to the previous assessment at 2.6 percent in 2022, 2.5 percent in 2023, and 2.0 percent in 2024.",0
The trajectory of Thai economic growth remains largely unchanged in 2023 and 2024 as the strength of the tourism sector and private consumption will help lessen the impact of the global slowdown on the Thai export sector.,0
Tourism and private consumption will continue to be key economic drivers going forward and help alleviate the impact of global slowdown on the Thai economy.,1
The Committee will continue to closely monitor developments in the financial market and volatilities in the foreign exchange market.,0
"However, the Committee will continue to closely monitor risks to inflation, especially a potential increase in cost pass-through as well as domestic energy prices which remain uncertain.",-1
"The Thai economy is projected to continue growing at 3.2 percent in 2022, 3.7 percent in 2023, and 3.9 percent in 2024.",1
The policy rate should be normalized to the level that is consistent with sustainable growth in the long term in a gradual and measured manner.,1
Overall financial conditions remain accommodative.,1
"The Committee votes unanimously to raise the policy rate by 0.25 percentage point from 1.00 to 1.25 percent, effective immediately.",0
"However, the financial positions of some SMEs and households remain fragile and sensitive to the rising living costs and debt burden as incomes have yet to fully recover.",-1
"Headline inflation is expected to be higher than previously assessed for 2023 on the back of the upward adjustment of electricity charges, but it is expected to return to the target range by the end of 2023.",0
The baht against the US dollar has been highly volatile owing mainly to expectations surrounding the monetary and macroeconomic policy in major economies.,-1
The Thai economic recovery has continued to gain traction.,1
"Meanwhile, medium-term inflation expectations remain anchored within the target range.",1
Overall financial system remains resilient.,1
The Committee views that financial institutions should continue to press ahead with debt restructuring and deems it important to have targeted measures and sustainable solutions in place for vulnerable groups.,1
"Additionally, private consumption is supported by improving economic activities, as well as a more broad-based recovery in employment and labor income.",1
"Nonetheless, the Committee will monitor the downside risks to the highly uncertain global economic outlook as well as the momentum of the tourism sector.",0
"Given the heightened uncertainties surrounding the global economy, the Committee is ready to adjust the size and timing of policy normalization should the growth and inflation outlook shift from the current assessment.",0
Headline inflation is expected to be higher than the previous projection for 2023 due to domestic energy prices.,-1
"The Committee deems that a gradual policy normalization remains an appropriate course for monetary policy given the growth and inflation outlook, and thus votes to raise the policy rate by 0.25 percentage point at this meeting.",1
"Funding costs in the private sector gradually rise in tandem with the policy rate but remain conducive for business financing, with credit and funding in the bond market still seeing growth.",1
Private sector funding costs via commercial banks and corporate bond markets remain relatively stable; outstanding business loans remain roughly unchanged.,0
One MPC member voted to cut the policy rate by 0.25 percentage point.,0
"Core inflation is expected to remain low, partly due to structural factors that moderate the increases in energy and raw food prices compared to the past, as well as heightened competition from imported goods.",1
"At the same time, the economy has recovered unevenly across sectors, with labor income in manufacturing and self-employed groups improving more slowly than other groups.",-1
"The Committee will closely monitor macroeconomic and financial developments, as well as the interlinkages between them, and will take into account growth and inflation outlooks in deliberating monetary policy going forward.",0
"The Committee deems that it is crucial to closely monitor the impacts of deterioration in credit quality on borrowing costs and overall credit growth, which could affect economic activities.",-1
The Committee recognizes the challenges SMEs are facing in accessing credit and supports measures to address these issues such as credit guarantee schemes.,1
"The baht appreciated against the U.S. dollar, while Thai government bond yields have declined in line with U.S. government bond yields.",0
"One member voted to cut the policy rate by 0.25 percentage point to reflect Thailand’s lower potential growth as a result of structural challenges, and to partly alleviate debt-servicing burden for borrowers.",-1
Financial markets have been volatile due to market participants’ views on the economic outlook and monetary policy of major economies.,-1
"The majority of the Committee deems that the current policy interest rate is consistent with the economy converging to its potential, as well as conducive to safeguarding macro-financial stability.",1
This is partly due to deterioration in debt serviceability of vulnerable households as a result of slow income recovery.,-1
"This has been primarily driven by tourism and domestic demand, despite the expected slowdown in private consumption going forward after a period of strong growth.",0
"Disyatat, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 21 August 2024 as follows.",0
"However, there is a need to monitor potential extensions of government price subsidies.",0
"Headline inflation is expected to decline relative to previous assessment, as agricultural prices are likely to remain subdued due to favorable weather conditions boosting production.",1
"The Thai economy is projected to expand as anticipated, driven by tourism and domestic demand, while overall exports are gradually recovering.",1
"In addition, the Committee supports the Bank of Thailand’s policy of debt restructuring through financial institutions, a targeted measure that partly facilitates household debt deleveraging.",1
"Going forward, it is crucial to monitor downside risks from private investment and consumption.",0
"Most Committee members deem that the policy rate remains consistent with economic growth and inflation outlook, while fostering macro-financial stability in the longer term.",1
The Committee voted 6 to 1 to maintain the policy rate at 2.50 percent.,0
"At the same time, SME loans contracted due to rising credit risks.",-1
"Household loans have grown at slower pace, and with worsening credit quality.",-1
Inflation is expected to return to the target range by the end of 2024.,1
"However, loans in the automotive and electronics sectors declined partly due to structural factors.",-1
Overall financial conditions tightened somewhat.,-1
"Meanwhile, merchandise exports and manufacturing production are gradually recovering, as some export categories remain pressured by structural headwinds and declining competitiveness.",0
"However, it is essential to monitor deterioration in credit quality that could impact overall financial conditions and the economy.",0
"The prevailing monetary policy framework seeks to maintain price stability, support sustainable growth, and preserve financial stability.",1
The Thai economy is expected to grow as anticipated.,0
"Medium-term inflation expectations remain consistent with the target, and headline inflation is anticipated to gradually return to the target range by the end of 2024.",1
"Most members, therefore, voted to maintain the policy rate at this meeting.",0
"The Committee assesses that the Thai economic recovery will remain intact in 2022 and 2023, despite impacts from sanctions against Russia which led to higher energy and commodity prices and a slowdown in external demand.",1
The Committee views that government measures and policy coordination among government agencies will be critical to support the economic recovery amid heightened uncertainties.,0
Overall financial conditions remain accommodative.,1
The Committee stands ready to use appropriate monetary policy tools if necessary.,0
The Committee thus voted to maintain the policy rate at this meeting to help facilitate a sustained economic recovery.,1
"The measures have included the special loan facility, asset warehousing scheme, and other measures by specialized financial institutions (SFIs).",0
"Inflation will exceed 5 percent in the second and third quarters of 2022, driven mainly by rising energy prices and the pass-through of food prices.",-1
"Fiscal measures should support the economic recovery in a targeted manner, with a focus on generating income and alleviating living expenses for vulnerable groups.",1
"Meanwhile, demand-pull inflationary pressures remain subdued in line with a slow recovery of income, and medium-term inflation expectations remain anchored within the target range.",1
"The Committee assesses that recent increases in inflation have stemmed primarily from cost-push factors, while demand-pull inflationary pressures have remained subdued.",0
"Disyatat, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 30 March 2022 as follows.",0
"The Committee will closely monitor key factors affecting the economic and inflation outlook, namely, global energy and commodity prices, higher cost pass-through, and geopolitical risks that could elevate and pose uncertainties in the period ahead.",0
"Upside risks to inflation remain, primarily from higher-than-expected oil prices and cost pass-through from producers to consumers.",-1
The Committee will continue to closely monitor inflation dynamics to ensure that medium-term inflation expectations will be consistent with the monetary policy target.,0
Average inflation for the full year 2022 will exceed the target range but is expected to decline and return to target in early 2023 with energy and food prices stabilizing.,0
"The Committee will closely monitor developments in both global and domestic financial markets, and continue to expedite the new foreign exchange ecosystem, particularly through supporting SMEs in hedging against risks from exchange rate volatility.",1
"However, inflation is projected to decrease and return to the target range in 2023 owing in part to the assessment that the rise in energy prices would not persist.",1
"Liquidity in the financial system remains ample, although liquidity distribution still varies across economic sectors.",0
The Committee voted unanimously to maintain the policy rate at 0.50 percent.,0
"Nonetheless, downside risks to growth remain, including (1) prolonged shortages of raw materials in certain industries and (2) the impact of higher prices on living costs for households and production costs for businesses, particularly toward vulnerable groups.",-1
The Committee judges that the rise in inflation has been mainly due to cost-push factors.,0
"Under the monetary policy framework with objectives of maintaining price stability, supporting sustainable and full-potential economic growth, and preserving financial stability, the Committee continues to put emphasis on supporting the economic recovery.",1
"Financial and credit measures have helped distribute liquidity and reduce debt burden, especially for those whose incomes have not yet fully recovered.",1
Headline inflation is projected to be at 4.9 percent in 2022 and 1.7 percent in 2023.,0
The impact of the Omicron variant outbreak on economic activities is expected to be more contained than previous waves.,1
Sanctions against Russia have pushed the cost of goods higher but will not derail the overall recovery path.,0
The Committee will closely monitor developments in the abovementioned situations closely.,0
The Committee assesses that the Thai economy will continue to grow at the rate of 3.2 percent in 2022 and 4.4 percent in 2023 on the back of improving domestic demand and tourism.,1
"On exchange rates, the baht has depreciated relative to the US dollar due to concerns over the Russia-Ukraine war and the expectation of monetary policy normalization in advanced economies.",-1
"In addition, financial institutions should accelerate debt restructuring in a sustainable manner to have broader impacts and be consistent with borrowers’ long-term debt serviceability.",1
Monetary policy should contribute to continued accommodative financial conditions overall.,1
"However, the Committee will monitor key risk factors to economic recovery, especially the impact of higher prices on living costs for households.",-1
Three members voted to raise the policy rate by 0.25 percentage point.,0
The Committee will closely monitor developments and volatilities in financial markets.,0
"Under the monetary policy framework with objectives of maintaining price stability, supporting sustainable and full-potential economic growth, and preserving financial stability, the Committee assesses that the economic recovery has continued to gain more traction, while the upside inflationary risks continued to increase.",0
Commercial banks have high levels of capital fund and loan loss provision.,1
"Nonetheless, inflation risks increase significantly from uncertainties surrounding global energy prices, the possibilities of broader and faster cost passthrough, and rising demand-side inflationary pressure as the economic recovery gains strength.",-1
"Disyatat, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 8 June 2022 as follows.",0
"However, to ensure that the recovery will continue to gain traction as anticipated, most members voted to maintain the policy rate in this meeting and will reassess the risks to growth and inflation going forward.",1
"The Committee would closely monitor inflation dynamics, cost passthrough, and medium-term inflation expectations.",0
The rise in inflation has been mainly due to cost-push factors while medium-term inflation expectations remain anchored within the target range.,0
Foreign tourist arrivals also improve following the faster relaxation of border controls in Thailand and other countries.,1
Long-term government bond yields rose in tandem with the monetary policy outlook in advanced economies and the expectation of domestic monetary policy normalization in the period ahead.,0
"Thus, the Committee deems that a very accommodative monetary policy will be less needed going forward.",0
Headline inflation is projected to be at 6.2 percent in 2022 and 2.5 percent in 2023.,0
The Committee deems that a very accommodative monetary policy will be less needed going forward.,1
"On exchange rates, the baht has depreciated relative to the US dollar in line with regional currencies.",0
Overall financial system remains resilient.,1
The Committee voted 4 to 3 to maintain the policy rate at 0.50 percent.,0
Inflation will exceed the upper bound of the target range in 2022 due to increasing domestic energy prices and higher cost passthrough that have broadened into wider ranges of products.,-1
"Meanwhile, the impact of COVID-19 and the conflict between Russia and Ukraine on the Thai economy will be limited.",1
"Headline inflation would increase and remain elevated for longer than previously estimated, due to the increase in oil prices and higher cost passthrough.",-1
"Furthermore, the labor market and household income show signs of improvement as economic activities continue to expand in tandem with the relaxation of containment measures.",1
"The Committee views that financial institutions should continue with debt restructuring in a sustainable manner to have broader impacts and be consistent with borrowers’ long-term debt serviceability, especially with a focus on targeted measures for vulnerable groups.",1
"Liquidity in the financial system remains ample, although liquidity distribution still varies across economic sectors.",0
"Meanwhile, three members view that policy normalization is warranted in this meeting given the increased upside risks to both growth and inflation.",0
"The Committee assesses that the Thai economy will expand at 3.3 percent in 2022 and 4.2 percent in 2023 on the back of better-than-expected recovery in domestic consumption, especially in the services sector.",1
The Committee assesses that the Thai economy will continue to recover and could expand faster than previously expected owing to stronger domestic demand and the pickup in foreign tourists.,1
Overall financial conditions remain accommodative albeit volatilities increase in financial markets.,0
The Committee will assess the appropriate timing for a gradual policy normalization in accordance with the shift in the outlook and risks surrounding growth and inflation.,0
Some households and businesses remain vulnerable to rising living and production costs as their incomes have not fully recovered in addition to their high levels of debt.,-1
The overall financial conditions tightened somewhat.,-1
"However, the recovery has been uneven across sectors, with certain merchandise exports, manufacturing production, as well as SMEs facing pressure from structural impediments.",-1
"Meanwhile, headline Inflation is projected to gradually return towards the target range by the end of 2024.",1
"Credit quality deteriorated, partly due to debtors who have previously received financial assistances as well as SMEs and vulnerable households experiencing slower income recovery and elevated debt burden.",-1
The baht appreciated against the U.S. dollar in response to monetary policies in major advanced economies as well as domestic factors.,1
"The Committee voted 5 to 2 to cut the policy rate by 0.25 percentage point from 2.50 to 2.25 percent, effective immediately.",-1
Private sector funding costs via commercial banks and corporate bond markets remain relatively stable.,0
"Moreover, it should not be at too low a level that would create build-ups of financial imbalances in the long term.",-1
The Committee deems that a neutral stance of policy rate remains appropriate with the economic growth and inflation outlook.,1
Two members voted to maintain the policy rate at 2.50 percent.,0
"Panyanukul, Secretary of the Monetary Policy Committee (MPC), announced the outcome of the meeting on 16 October 2024 as follows.",0
"Raw food inflation is likely to rise due to volatile weather conditions, while energy inflation is expected to increase because of the base effect.",-1
"The prevailing monetary policy framework seeks to maintain price stability, support sustainable growth, and preserve financial stability.",1
"The main drivers are tourism, private consumption that is further supported by government stimulus measures, and improvement in exports given higher demand for electronics.",1
The overall Thai economy is projected to expand as anticipated.,1
Medium-term inflation expectations remain consistent with target.,1
Headline inflation is anticipated to gradually return to the target range by the end of 2024.,1
The Committee deems that the policy rate should remain neutral and consistent with economic potential.,0
